104485,KARNAPHULI A J CHOWDHURY COLLEGE
133998,CHATTOGRAM GOVERNMENT MODEL SCHOOL & COLLEGE
104272,CMP SCHOOL AND COLLEGE
104537,PAHATALI COLLEGE
104711,ISPAHANI PUBLIC SCHOOL & COLLEGE
134780,"COLLEGE OF SCIENCE, BUSINESS AND HUMANITIES (CSBH)"
104492,CHITTAGONG CITY CORPORATION MUNICIPAL MODEL SCHOOL AND COLLEGE
132060,KAPASGOLA CITY CORPARATION MOHILA COLLEGE
104507,J.M SEN SCHOOL & COLLEGE
104527,GOVT HAJI MOHD MOHSIN COLLEGE CTG
104511,ST. SCHOLASTICA'S GIRL'S  SCHOOL AND COLLEGE
104532,GOVT.CHITTAGONG COLLEGE
132147,CENTRAL PUBLIC SCHOOL AND COLLEGE
134628,CHATTAGRAM BIGGAN COLLEGE
104534,BANGLADESEH MOHILA SAMITY GIRLS HIGH SCHOOL & COLLEGE
134595,BAKALIA GOVT. COLLEGE
104529,PATHARGHATA CITY CORPORATION COLLEGE
137811,CHATTAGRAM COMMERCE COLLEGE
136538,CHITTAGONG CITY PUBLIC COLLEGE
134775,CHITTAGONG CITY CORPORATION KAISER-NILOUFER COLLEGE
104528,MAHILA COLLEGE CHATTAGRAM
104513,SAINT PLACID'S SCHOOL AND COLLEGE
104491,KAZEM ALI  SCHOOL AND COLLEGE
104490,APARNA  CHARAN  CITY  CORP. GIRLS  HIGH  SCHOOL AND COLLEGE
104590,CHUNATI GOVT. MOHILA COLLEGE
104589,BARA AULIA DEGREE  COLLEGE
131345,MOSTAFA BEGUM GIRLS  SCHOOL AND COLLEGE
104588,ALHAJ MOSTAFIZUR RAHMAN COLLEGE
104658,ZORWARGONG MOHILA COLLEGE
104662,NIZAMPUR COLLEGE
104610,MAHAJANHAT FAZLUR RAHMAN  SCHOOL AND COLLEGE
104660,PROFESSOR KAMAL UDDIN CHOWDHURY COLLEGE
104661,MIRSARAI COLLEGE
138842,MUKTIJODDHA MAJOR MOSTAFA COLLEGE
104659,BARAIYA HAT COLLEGE
135721,HALISHAHAR CANTONMENT PUBLIC SCHOOL AND COLLEGE
104687,DR.FAZLUL HAJERA DEGREE COLLEGE
104671,KATTALI CITY CORPORATION GIRLS' HIGH SCHOOL AND COLLEGE
104675,PAHARTALI GIRLS SCHOOL AND COLLEGE
139368,SARAIPARA CITY CORPORATION DEGREE COLLEGE
134391,CHITTAGONG CITY CORPORATION PREMIER COLLEGE
104688,UTTAR KATLI AL-HAJ MOSTAFA -HAKIM DEGREE COLLEGE
132075,CHITTAGONG LABRATORY SCHOOL AND COLLEGE
134279,HOSSEN AHAMMAD CHY. CITY CORPORATION SCHOOL AND COLLEGE
134159,PINNACLE CHARTERED  COLLEGE
104694,PROBORTOK SCHOOL AND COLLEGE
134625,CHITTAGONG SUNSHINE COLLEGE
104710,CHITTAGONG GOVT. WOMEN'S COLLEGE
134170,SOUTHPOINT SCHOOL AND COLLEGE
135422,SOUTH ASIAN COLLEGE CHITTAGONG
138015,CHATTAGRAM ZILLA COLLEGE
104265,B A F SHAHEEN  COLLEGE CHITTAGONG
104267,PATENGA CITY CORP.GIRL'S SCHOOL & COLLEGE
104785,MONSHA SCHOOL & COLLEGE
104784,DHALGHAT SCHOOL & COLLEGE
104779,HULAIN SALEH NOOR DEGREE COLLAGE
104783,KHALIL MIR DEGREE COLLEGE
104778,PATIYA GOVT COLLEGE
104746,KUSUMPURA HIGH SCHOOL AND COLLEGE
135925,PATIYA CENTRAL COLLEGE
138320,S. ALAM COLLEGIATE SCHOOL AND COLLEGE
104719,UNION KRISHI  SCHOOL AND COLLEGE
104786,SHOVANDANDI SCHOOL AND COLLEGE
104777,KHALILUR RAHMAN MOHILA COLLEGE
104782,MUZAFARABAD COLLEGE
104780,MUZAFARABAD JASHODA NAGENDRA NANDI RESIDENTIAL WOMEN COLLEGE
104848,RAJANAGAR RANIRHAT DEGREE COLLEGE
104845,UTTAR RANGUNIA COLLEGE
104844,RANGUNIA COLLEGE
104846,SOUTH RANGUIA PADUA COLLAGE
104850,RANGUNIA HASINA JAMAL DEGREE  COLLEGE
104847,SYEDA SELIMA QADER CHOWDHURY MOHILA COLLEGE
104851,RANGGUNIA MOHILA COLLEGE
104849,M. SHAH ALAM CHOWDHURY DEGREE COLLEGE
104852,SOUTH RANGUNIA SHILAK GIRLS COLLEGE
104928,KUNDESWARI BALIKA MOHAVIDYALAYA
104868,KADALPUR  SCHOOL AND COLLEGE
104865,MOHAMMEDPUR  SCHOOL AND COLLEGE
104929,HAZRAT YASIN SHAH PUBLIC COLLEGE
104933,A.B.M FAZLE KARIM CHOWDHURY COLLEGE
104931,RAOZAN COLLEGE
104936,HAJEE BADSHA MABEYA COLLEGE
104938,CHITTAGONG ENGINEERING UNIVERSITY SCHOOL & COLLEGE
104937,DEWANPUR S.K.SEN SCHOOL  & COLLEGE
104867,BINAJURI NABIN SCHOOL AND COLLEGE
104934,AGRASARA GIRL'S DEGREE COLLEGE
104930,IMAM GAZZALI DEGREE COLLEGE
104932,NOAPARA DEGREE COLLEGE
104935,ASHALATA COLLEGE
104948,MOGDHARA  SCHOOL AND COLLEGE
104978,SOUTH SANDWIP COLLEGE
104979,UTTAR SANDVIP COLLEGE
104981,ABUL QUASEM HAIDER MOHILA COLLEGE
104980,GOVT. HAJI A.B. COLLEGE
104982,MUSTAFIZUR RAHMAN (DEG)COLLEGE
136602,CHIBBARI M.A. MOTALEB COLLEGE
105057,UTTAR SATKANIA ZAFAR AHMED CHY COLLAGE
105060,COLONEL (RTD) OLI AHMED BIR BIKROM COLLEGE
105061,SATKANIA GOVT. COLLEGE
105058,AL HELAL ADARSHA DEGREE COLLEGE
105059,SATKANIA ADARSHA  MAHILA  COLLEGE
105015,CHADAHA KEFAYET ULLAH KABIR AHMAD SCHOOL AND COLLEGE
105020,BARDONA SHAH MAJIDIA MOULANA ABDUL BARI GIRLS HIGH SCHOOL AND COLLEGE
105114,LATIFA SIDDIQUI DEGREE COLLEGE
105116,FAUJDARHAT CADET COLLEGE
105067,BARABKUND HIGH SCHOOL AND COLLEGE
138210,CHOTO DAROGARHAT TAHER-MONJUR COLLEGE
105112,SITAKUND DEGREE COLLEGE
105087,KUMIRA RESIDENTIAL GIRLS SCHOOL & COLLEGE
105113,BIJOY SMARANI DEGREE COLLEGE
135944,SITAKUNDA GOVT. MOHILA COLLEGE
